name,translation
644,bottom like that no starting here important
645,important
646,important
647,also sometimes the palms point more outward
648,important
649,important
650,important
651,family or family
652,important or important
653,the difference is for family
654,this family sign circles horizontally
655,"thank you so much for watching if you
liked this video and you want to learn"
656,"more asl don't forget to click like
plus subscribe"
657,"tap the bell to get notified about new
videos i have many more here for you and"
658,"in the future thanks again and i'll see
you soon bye"
659,hi welcome happy thanksgiving
660,signs related to the holiday
661,thanksgiving and thanksgiving weekend
662,too
663,thanksgiving
664,you
665,holiday
666,a second way to sign it
667,same sign is like this where the hands
668,alternate holiday
669,it's a forehand shape like that fall
670,you
671,differently thth like that thursday
672,same thing north america
673,you
674,ships or boat
675,pilgrim
676,it's like the clothes with the white
677,square on the top pilgrim i've also seen
678,its eye in the opposite way so goes like
679,this telegram or of course you can
680,celebrate
681,celebrate
682,family
683,family
684,friends
685,friends
686,thankful
687,thanksgiving day
688,football football
689,shape parade
690,do you watch the parade cook
691,you
692,baked or baking
693,you
694,food
695,feast
696,you
697,follow
698,turkey
699,pumpkin
700,pi pi
701,more please
702,thanksgiving day finish theirs black
703,friday
704,is on sale cost
705,signs help you celebrate thanksgiving
706,finally i want to say that i'm thankful
707,appreciate you now that's it for today i
708,hope that this video helps you celebrate
709,asl and thanksgiving
710,happy thanksgiving bye
711,hanukkah hanukkah
712,chanukah
713,night you add one more candle for
714,hanukkah some people celebrate by
715,telling the story it's about a war and a
716,miracle happened there was a teeny bit
717,of oil that should have lasted for one
718,to be because it's around the same time
719,those eight nights lots of gifts gift
720,and if you celebrate happy hanukkah
721,the sign oh well that's holiday holiday
722,holiday and now holidays named there are
723,that sign is the same as cracker but
724,passover so that's the p handshape
725,literally going over the other hand
726,matzah
727,egypt egypt egypt
728,bread bread
729,you'll also maybe see it with an f
730,this video please subscribe thank you
731,for watching and happy passover
732,"who have been to war fought protected
our country"
733,watching bye
734,that's independence day and here's the
735,and signed a document and that document
736,declared that we were separating from
737,4th we celebrate
738,july 4th
739,independence day
740,the year 1776
741,holiday
742,proud or pride
743,national
744,celebrate
745,flagg
746,our flag
747,barbecue
748,parade for handshape parade
749,fireworks
750,again
751,hope that your holiday is good i hope
752,that you enjoy the long weekend and
753,happy independence day bye
754,hello happy halloween today i'll show
755,you different words related to the
756,holiday of halloween first i'll actually
757,show you the signs for halloween i'll
758,show you two and then i'll show you all
759,different words related to halloween in
760,alphabetical order so you can find
761,halloween that
762,that
763,black that's the color black
764,like this shirt black
765,blood
766,blood
767,candy
768,has those things sticking out of his
769,neck see you can sign it or sometimes
770,like this frankenstein same thing
771,frankenstein
772,halloween is when october 31st so again
773,pumpkin
774,scary scary
775,scary
776,something's scary or you're scared
777,skeleton
778,skeleton
779,spider spider
780,right and for that it's sort of a
781,descriptive sign showing the knock on
782,the doors and the holding of the bag and
783,that would be requesting candy so you
784,could sign trickortreat like that and
785,which which
786,i've seen a couple variations on this
787,all right that's it happy halloween
788,thanks for watching
789,halloween and that's the sign halloween
790,halloween
791,halloween or halloween same thing i've
792,seen it with both the single and a
793,double movement and now i'll show you a
794,two
795,again
796,party number three
797,did you know i have different video with
798,science related to halloween so you can
799,watch this video's description has the
800,link alright happy halloween
801,"hello next week  no this friday
is valentine's day"
802,valentine's day
803,"i have a different video with many many
signs related to valentine's day"
804,depending on the context you maybe would use a different sign so let's discuss
805,okay love now if you have already learned any asl
806,you have maybe seen the sign i love you
807,this is the ily sign it means love no
808,it means i love you  i love you
809,why because it's the i l and y handshapes
810,all together becomes this i love you
811,so this ily handshape is commonly used
812,"you can use it with a sweetheart
to really mean you know i love you"
813,"it can also be used with friends
or people tend to use it more casually"
814,you might bend the index finger oh bye i love you
815,also in general you can sign it out to an audience
816,for example here on youtube i may sign
817,bye thank you for watching i love you
818,and it's true thank you for watching
819,i love you  i'm so happy that you're here
820,so anyway back to the ily sign
821,that means love you
822,"it may be serious
it may be more casual with friends that"
823,i love you
824,love
825,love is used with a romantic or family relationship
826,love
827,love
828,love you
829,i love you or i love them
830,love
831,so again so far we have love you or love ya
832,love
833,love
834,now last i'm going to show the sign love it
835,that tends to be written as the words kiss fist
836,why because you're kissing the back of your fist
837,you can kiss it you don't need to
838,that sign kissfist means what
839,it also is the english word love in english but
840,for example maybe a tv show  love it
841,an activity you can love it
842,book author kiss fist
843,a kind of food  love it
844,so that's kiss fist  is different
845,so again love you ily
846,love  relationships love
847,and kiss fist  love it things
848,okay these three  i love you love kissfist
849,example sentences
850,first normal speed  second half speed
851,third regular but with english support
852,again my family i love
853,you love me do you
854,"the i love you sign tends to itself kind
of be a sentence love you love ya"
855,"maybe you're my friend and recently
you've helped me with something"
856,i can tell you thank you love you thank you
857,thank you love ya
858,kissfist a few examples
859,again
860,again
861,that book i loveit
862,again
863,mountain hiking i loveit
864,okay that was a few examples
865,if you have other examples you want to share comment
866,happy valentine's day love you
867,"thank you so much for watching
if you liked this video and you want to learn more asl"
868,don't forget to click like plus subscribe
869,tap the bell to get notified about new videos
870,i have many more here for you and in the future
871,hello
872,"now it's september september's arrived fall is beginning
and so i'm going to show you some signs related"
873,to school
874,"many students  children and adults both
 are going back to school"
875,"and that's back  back to school or
if school is here sign it this way"
876,"so if you're looking for one sign in particular
i suggest that you go to this video's description"
877,"where i have a list of all the signs with
the time in the video where you can find that sign"
878,just clap twice that's it
879,school
880,class
881,so this is the handshape it goes in a circle
882,class
883,class
884,education
885,an e to a d  education
886,you can also sign it this way
887,teach
888,teacher
889,teacher
890,teacher
891,learn
892,student
893,student
894,student
895,"so here we have learner  learn plus the
personmarker the two signs combine into"
896,one
897,student
898,building
899,building
900,or you can use this handshape building
901,building
902,so school building
903,room
904,"you can sign it either way it tends to change
depending on the context of the sentence "
905,room or room
906,room
907,classroom
908,classroom
909,classroom
910,semester
911,schedule
912,that's the movement  schedule
913,period
914,so like period a period b and so on
915,time
916,time
917,on time
918,late
919,homework
920,"so it's like the signs home and work and
you may still see it like that homework"
921,that's fine
922,"or you can combine it  the two words into
one homework"
923,homework
924,due
925,due
926,for example homework due when
927,next week
928,study
929,study
930,the fingers wiggle  study
931,or if it's a long time sign it like this
932,"that movement indicates that you're continuing
on  studying"
933,practice
934,practice
935,paper
936,and notice it's different from school
937,"school is like this paper has this other
movement"
938,the movements are different
939,paper
940,test
941,test
942,exam
943,"so the handshape at the end is different
exam"
944,or final exam
945,that's the movement  book
946,read
947,so it's like your eyes scanning a page
948,read
949,write
950,"or if you're using a board  and that's a
board  you should write like this like"
951,you're writing on the board
952,review
953,review
954,or you can sign it like this review
955,they're all the same review review review
956,you may see any of those
957,question
958,question
959,"and note the sign question does not mean
a written question mark  it's not how you"
960,make a question
961,it means the word question
962,answer
963,answer
964,answer or respond
965,right or correct
966,right
967,correct
968,incorrect or 'wrong'
969,it's a y handshape wrong
970,wrong
971,thank you for watching
972,i hope that you enjoyed learning
973,"if you liked this video then don't forget
to subscribe so you can see new videos first"
974,thanks again see you soon
976,to school if you're looking for one
977,particular sign you can look at this
978,video's description and there you'll
979,find a list with all the time stands for
980,class
981,and then there's class again like a
982,class subject
983,mathematics
984,and you can change that handshape to
985,open a handshape not an s it's an a
986,science
987,science
988,change the handshape from the open a to
989,that history history
990,history you can add on to say world
991,european history and so on
992,recently some signs have been changing
993,more to get rid of that english so you
994,can toss the l and in studies this hand
995,chinese
996,about literature you can describe
997,poetry poetry
998,jim
999,jim
1000,art
1001,part
1002,music
1003,music
1004,"the opposite palm kindergarten
kindergarten"
1005,"but we're not pressing them forward
we're not fingerspelling this is a sign"
1006,high school
1007,"the hands  so you should take it on your
dominant hand is gonna go out end up"
1008,"college this is away from you college
so copy me here college"
1009,it goes out and up college
1010,"the university is done
with the u handshape university"
1011,"okay altogether those are different
different kinds of school levels i hope"
1012,"that it's helped you learn those signs
we have many more videos related to school"
1013,"so i suggest that you watch thanks for
watching and i'll see you soon"
1014,bye bye
1015,"hi i'm meredith and in this video i'll
show you signs related to school"
1016,"specifically the school building are you
ready"
1017,if you're looking for one sign in particular
1018,you can go to this video's description  and there i have a list of
1019,"all the signs with the time stamps so
you know where to find the sign"
1020,school
1021,"this is the handshape school
the movement is clap twice school"
1022,you can also use a different hand shape like this building
1023,school building
1024,entrance enter or entrance
1025,you can also spell out lobby
1026,lobby lobby
1027,hall there is a lexicalized fingerspelling version hall
1028,so hall or hall
1029,classroom
1030,computer lab
1031,bathroom
1032,bathroom
1033,"in the library you find what books and
now maybe computers too"
1034,cafeteria  it's a c handshape
1035, it's like restaurant but cafeteria
1036,cafeteria
1037,"lunch students eat where
cafeteria"
1038,office  o handshape office that
1039,movement could be reversed too office
1040,and you'll sometimes see that fingerspelled
1041,office same thing
1042,for example principal's office
1043,theater and sometimes you'll see
1044,gym  gym
1045,locker
1046,locker room near
1047,the gym locker room
1048,"field
so maybe the school in back has a field"
1049,"and if there's a specific sport you can
sign it like baseball field soccer field"
1050,football field like that
1051,dorm
1052,or dormitory dorm
1053,teachers room teachers room
1054,okay and let's review just a few
1055,school building
1056,thank you for watching if you
1057,"want to learn other signs related to
school i have a few different videos so"
1058,"i suggest you keep watching and if there
are other signs that you want to learn"
1059,"hello friends today i'm going to teach
signs related to grades in the school"
1060,going through the grades
1061,"this is the sign grade it's a g
handshape  the thumb and index finger out"
1062,we have preschool pre school
1063,kindergarten it's a k handshape kindergarten
1064,"now elementary school and
middle school has grades 1 through 8"
1065,right so what do you do you sign first second third and so on
1066,plus the sign grade  for example
1067,first grade
1068,again first  the finger twists inward grade
1069,see how the hand twists at the wrist  1st 2nd 3rd 4th 5th and that
1070,"tends to be what's in elementary school
1st through 5th grade and then you go"
1071,"fifth grade sixth grade seventh grade
eighth grade okay"
1072,"substitute it with we use the
nondominant  hand keep that still and"
1073,junior senior
1074,"okay so those are the
years we go through the years  we can"
1075,"through the years and finish what do you
do graduate"
1076, graduate
1077,"i have different videos with signs
related to graduation so i suggest you"
1078,"watch that and thank you for watching if
you like this video please subscribe and"
1079,i'll see you again soon bye
1080,"hi everyone today i'm going to show
signs related to school specifically"
1081,"different types of school assignments
assignment"
1082,"if you haven't yet watched
the other videos related to school"
1083,i suggest you watch those
1084,assignment
1085,assignment
1086,assignment it's also a reservation
